X,Y,FID,MSOA21CD,GlobalID,GlobalID_2
560517.1197,165545.2817,123,E02006832,bbf78897-3953-41ff-a749-b6ef1c094e58,d3e5a9c0-0e9d-4e53-8730-42b473e07e0b
547016.0769,176404.4155,124,E02000077,367bacf1-ccc8-42af-b16a-1429a00153a8,45ea3bcd-d615-45b0-81e2-c4fa13a59573
250472.4967,53155.2699999996,125,E02003152,5b0b0f1f-372b-451a-aff2-1ea077c19113,06affa4e-0aad-4bc0-be88-82f7fea3a248
367921.2602,79458.5056999996,126,E02004284,f97dc2e0-a1d6-4c60-bd5b-0ba6dc6aabe4,1e84b7d1-c606-4fd2-96a1-0fd498f0bbe3
292696.3371,63795.6724999994,127,E02003163,37ff6d83-fab8-45bf-a1e1-912033267e90,030cbc4d-105f-44d6-aef4-31568d255abb
212655.6967,84505.2367000002,128,E02003934,6d3dcb49-4f8f-4f2c-8db8-b7f6d09edf67,04b65618-6ff4-489f-9654-70f009fd729f
406508.3248,92690.9677000009,129,E02003202,107e8b88-747b-4233-b18a-4d6f11df511a,95facae1-5057-4820-bcbf-b7306ac61fdc
531407.9494,166567.3226,130,E02000212,db298cba-3197-445d-872d-32e5c896a515,67ebe3c0-fb65-4af8-a706-7fad51e74271
468838.8318,172038.002900001,131,E02003403,447c274d-942f-4c80-9431-e46786f2fff3,35d2fc1f-d52a-4592-b83f-f56784f67012
534847.911,171730.775,132,E02000685,5bd4a6de-35f3-4b52-9427-99aad14799cd,2b89f50d-a435-4549-87f6-ee8ac205e964
525753.5046,148991.3325,133,E02006387,d4eca867-41a6-4674-bfe1-6a700575c0b2,fc5c4450-44ee-48b5-99d0-e778aeb2728d
480513.1708,97256.2609000001,134,E02006573,8c754f41-e8e1-44f6-ad01-3b20783803cd,9b1e7c4f-fffe-4e3a-9f13-bce3f1a93df7
492643.0476,99860.0504000001,135,E02006557,e3178125-8361-412f-b09b-04ef7677918d,842f25b8-f344-424a-a1f3-72b6cef487a9
362185.4725,175123.2038,136,E02003030,25eb7a11-7352-4df1-b7dc-a67f4026b37f,05df2cf6-f7eb-4764-8dae-e5bf44f3535f
513888.1184,180110.5331,137,E02000266,af0b68dd-9fad-4d38-b9d0-b7df99329923,628f7096-60a8-4c0c-a313-c0e452082de4
539079.6724,143481.8051,138,E02006437,19476548-da43-4727-8ffb-45bc1283efe8,b1e76e8e-5ad0-42de-b55a-1b95b606b359
549989.4395,175362.059699999,139,E02000081,377e49ca-13cb-4fd2-90fc-a3f2357b9e90,c5acf280-167b-4533-8eb5-fc272b00bf88
529356.0627,185008.445900001,140,E02000174,f0c5f8a4-4168-446b-bed7-ae66e2802bf1,b5a180ef-7b1a-4d25-9af6-a8f08112bec7
524209.2551,106080.9527,141,E02006534,d329dc06-1aba-421e-9db4-f04b5e9aafe1,0463b763-0993-4f71-b6c3-38739dda7c41
497173.7483,144524.348999999,142,E02006445,789ac6d8-87b3-42fd-b4e3-c4803083903e,8ad006a8-deb6-4800-b4c6-3a4f36ca6756
525406.3906,181849.7733,143,E02000969,a4d4e547-efaf-44af-90cd-530f9abc27d8,837a1da9-75c1-4d9c-bfcb-f4ddcd581469
539383.71,183588.9059,144,E02000733,d1de5398-3f6e-4a14-a46a-1f3b80b3441c,38e43deb-c50c-49c8-822c-a02a70f00848
